date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:50	195360/195360	---M--	200	added ('OK')	image/png	etag:42d52cb66664af8cf14e7d96ca7bcf75e7e6a0a24ccbbc9cc56241d2.png	https://cdn.pancake.vn/1/s750x1550/05/5a/27/6a/42d52cb66664af8cf14e7d96ca7bcf75e7e6a0a24ccbbc9cc56241d2.png	C:/My%20Web%20Sites/MyPham11/cdn.pancake.vn/1/s750x1550/05/5a/27/6a/42d52cb66664af8cf14e7d96ca7bcf75e7e6a0a24ccbbc9cc56241d2.png	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:50	27640/27640	---M--	200	added ('OK')	image/webp	etag:bf56d8f08ab5c23328ad9b73b8c538ca0e801955cf08f98af40b6a2c.png	https://cdn.pancake.vn/1/s650x750/fwebp/ad/29/ce/3a/bf56d8f08ab5c23328ad9b73b8c538ca0e801955cf08f98af40b6a2c.png	C:/My%20Web%20Sites/MyPham11/cdn.pancake.vn/1/s650x750/fwebp/ad/29/ce/3a/bf56d8f08ab5c23328ad9b73b8c538ca0e801955cf08f98af40b6a2c.png	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:50	421510/421510	---M--	200	added ('OK')	image/png	etag:bf56d8f08ab5c23328ad9b73b8c538ca0e801955cf08f98af40b6a2c.png	https://cdn.pancake.vn/1/s650x750/ad/29/ce/3a/bf56d8f08ab5c23328ad9b73b8c538ca0e801955cf08f98af40b6a2c.png	C:/My%20Web%20Sites/MyPham11/cdn.pancake.vn/1/s650x750/ad/29/ce/3a/bf56d8f08ab5c23328ad9b73b8c538ca0e801955cf08f98af40b6a2c.png	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:51	448732/448732	U--M-Z	200	updated ('OK')	application/javascript	etag:%226D3674A%22	https://preview.webcake.io/address_wc/address.84.min.js?v=1	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/address_wc/address.84.min3860.js	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:51	100433/100433	---M-Z	200	added ('OK')	text/css	etag:%22237B801%22	https://preview.webcake.io/animate/animatev4.css?v=1652072559927	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/animate/animatev42754.css	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:51	654/654	---M-Z	200	added ('OK')	text/css	etag:%224AB6AC2%22	https://preview.webcake.io/render_iconfont/iconfont.css?v=1652072559927	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/render_iconfont/iconfont2754.css	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:51	200290/200290	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jan%202025%2009:08:52%20GMT	https://preview.webcake.io/webcake/v4/c4e5c773-0344-43a6-bde4-97aab3d8eaac?v=1	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/webcake/v4/c4e5c773-0344-43a6-bde4-97aab3d8eaac3860.html	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:51	295583/295583	---M-Z	200	added ('OK')	application/javascript	etag:%2250783B3%22	https://preview.webcake.io/render_v4/product.js?v=1735981727891sk9b4jzy0x	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/render_v4/product7924.js	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:52	35/35	---M--	200	added ('OK')	image/gif	date:Sat,%2004%20Jan%202025%2009:08:52%20GMT	https://preview.webcake.io/page_view.gif?pid=70a29cd7-cac7-4f1a-aba5-d7fcaf65cd49	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/page_view4113.gif	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:52	1092/1092	---M--	200	added ('OK')	font/woff2	etag:%2257E5749%22	https://preview.webcake.io/render_iconfont/iconfont.woff2?t=1629107326521	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/render_iconfont/iconfontbd18.woff2	(from https://preview.webcake.io/render_iconfont/iconfont.css?v=1652072559927)
16:08:52	35680/35680	U-----	200	untouched ('')	image/png	etag:d6427653b3fa44d854f2171914c91e090286b98f56448f3101970b11.png	https://content.pancake.vn/1/48/c1/5e/fa/d6427653b3fa44d854f2171914c91e090286b98f56448f3101970b11.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/48/c1/5e/fa/d6427653b3fa44d854f2171914c91e090286b98f56448f3101970b11.png	(from https://preview.webcake.io/pages/my-pham-va-sac-dep-10)
16:08:52	1492/1492	---M--	200	added ('OK')	font/woff	etag:%226EAB080%22	https://preview.webcake.io/render_iconfont/iconfont.woff?t=1629107326521	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/render_iconfont/iconfontbd18.woff	(from https://preview.webcake.io/render_iconfont/iconfont.css?v=1652072559927)
16:08:53	2356/2356	---M-Z	200	added ('OK')	font/ttf	etag:%222D93EA1%22	https://preview.webcake.io/render_iconfont/iconfont.ttf?t=1629107326521	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/render_iconfont/iconfontbd18.ttf	(from https://preview.webcake.io/render_iconfont/iconfont.css?v=1652072559927)
16:08:53	35/35	---M--	400	error ('Bad%20Request')	application/json	date:Sat,%2004%20Jan%202025%2009:08:53%20GMT	https://preview.webcake.io/webcake/v4/=o.key)return	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/webcake/v4/=o.key)return	(from https://preview.webcake.io/webcake/v4/c4e5c773-0344-43a6-bde4-97aab3d8eaac?v=1)
16:08:53	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2004%20Jan%202025%2009:08:54%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/MyPham11/www.googletagmanager.com/gtm.1a5445.delayed	(from https://preview.webcake.io/webcake/v4/c4e5c773-0344-43a6-bde4-97aab3d8eaac?v=1)
16:08:54	1102/1102	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jan%202025%2009:08:54%20GMT	https://preview.webcake.io/currency/	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/currency/index.html	(from https://preview.webcake.io/webcake/v4/c4e5c773-0344-43a6-bde4-97aab3d8eaac?v=1)
